LatitudeMeasure,LongitudeMeasure,MonitoringLocationIdentifier,Elev_m
40.40414,-111.45859,UTAHDWQ_WQX-5910290,1670.99
40.52181,-111.42761,UTAHDWQ_WQX-5910295,1696.11
40.53151,-111.41036,UTAHDWQ_WQX-5910300,1710.93
40.53625,-111.41191,UTAHDWQ_WQX-5910302,1716.46
40.54301,-111.50074,UTAHDWQ_WQX-5910450,1811.09
40.55634,-111.42963,UTAHDWQ_WQX-5910510,1737.79
40.40632,-111.47251,UTAHDWQ_WQX-5910619,1655.82
40.48579,-111.46157,UTAHDWQ_WQX-5911120,1656.34
40.40303,-111.52966,UTAHDWQ_WQX-5913210,1611.82
40.46079,-111.47158,UTAHDWQ_WQX-5913520,1655.16
40.48412,-111.46518,UTAHDWQ_WQX-5913630,1655.35
39.7249,-111.16054,UTAHDWQ_WQX-5931480,2352.19
39.77524,-111.186,UTAHDWQ_WQX-5931650,2330.05
39.78302,-111.17684,UTAHDWQ_WQX-5931680,2325.58
40.76294,-109.29653,UTAHDWQ_WQX-5937840,2293.36
40.76884,-109.31986,UTAHDWQ_WQX-5937880,2299.55
40.99411,-110.38377,UTAHDWQ_WQX-5939330,2756.5
38.25358,-112.76689,UTAHDWQ_WQX-5940210,1693.44
38.27997,-112.56788,UTAHDWQ_WQX-5940440,1890.32
38.4847,-112.07213,UTAHDWQ_WQX-5945030,2949.02
38.48845,-112.07334,UTAHDWQ_WQX-5945070,2971.41
37.52445,-112.6697,UTAHDWQ_WQX-5946746,2561.8
37.72831,-112.61966,UTAHDWQ_WQX-5949470,2469.41
37.72692,-112.65077,UTAHDWQ_WQX-5949870,2510.86
37.72234,-112.66991,UTAHDWQ_WQX-5949890,2517.03
37.72234,-112.66991,UTAHDWQ_WQX-5949892,2517.03
37.73281,-112.70575,UTAHDWQ_WQX-5949920,2618.28
37.70637,-112.6591,UTAHDWQ_WQX-5949930,2508.66
38.50193,-111.55685,UTAHDWQ_WQX-5955920,2347.93
40.78801,-109.47052,UTAHDWQ_WQX-5987820,2480.43
37.86109,-112.48882,UTAHDWQ_WQX-5994660,2096.79
37.89795,-112.48665,UTAHDWQ_WQX-5994665,2083.37
37.89144,-112.52383,UTAHDWQ_WQX-5994673,2167.8
37.96304,-112.4291,UTAHDWQ_WQX-5994680,1983.67
37.30803,-112.32937,UTAHDWQ_WQX-5994740,1879.87
37.27933,-112.3455,UTAHDWQ_WQX-5994788,1817.64
