LatitudeMeasure,LongitudeMeasure,MonitoringLocationIdentifier,Elev_m
40.72384,-111.51965,UTAHDWQ_WQX-4925410,1942.44
40.68189,-111.53409,UTAHDWQ_WQX-4925440,2022.18
41.06161,-111.72855,UTAHDWQ_WQX-4925520,1520.96
41.02455,-111.7267,UTAHDWQ_WQX-4925532,1558.9
41.04216,-111.6797,UTAHDWQ_WQX-4925540,1540.63
40.75423,-111.57035,UTAHDWQ_WQX-4925610,1923.73
40.69023,-111.54658,UTAHDWQ_WQX-4925660,2035.73
41.07032,-111.52102,UTAHDWQ_WQX-4925760,1611.29
41.17967,-111.40381,UTAHDWQ_WQX-4925900,1776.14
41.05874,-111.58734,UTAHDWQ_WQX-4925955,1580.46
41.05939,-111.53937,UTAHDWQ_WQX-4925960,1596.47
41.05939,-111.53937,UTAHDWQ_WQX-4925962,1596.47
41.04313,-111.52039,UTAHDWQ_WQX-4925993,1608.47
41.04105,-111.51701,UTAHDWQ_WQX-4925997,1610.57
41.01819,-111.49528,UTAHDWQ_WQX-4926000,1622.78
41.01245,-111.37136,UTAHDWQ_WQX-4926040,1753.78
40.96835,-111.43786,UTAHDWQ_WQX-4926070,1661.89
41.03327,-111.33472,UTAHDWQ_WQX-4926080,1776.32
40.96661,-111.43714,UTAHDWQ_WQX-4926100,1664.93
40.92038,-111.41058,UTAHDWQ_WQX-4926170,1699.83
40.92051,-111.40131,UTAHDWQ_WQX-4926220,1698.95
40.96301,-111.23491,UTAHDWQ_WQX-4926260,1878.78
40.93244,-111.29242,UTAHDWQ_WQX-4926290,1796.77
40.91963,-111.40389,UTAHDWQ_WQX-4926310,1695.98
40.92051,-111.40131,UTAHDWQ_WQX-4926350,1698.95
40.92051,-111.40131,UTAHDWQ_WQX-4926352,1698.95
40.90927,-111.23525,UTAHDWQ_WQX-4926355,1883.9
40.92575,-111.27317,UTAHDWQ_WQX-4926360,1823.9
40.90572,-111.22474,UTAHDWQ_WQX-4926361,1902.41
